"ID","Name","Position","League","type","positionGroup"
435560,"Omar Quintanilla","2B/SS",NA,FALSE,"Utility"
408206,"Brett Myers","P",NA,FALSE,"Pitcher"
400085,"Ichiro Suzuki","OF",NA,FALSE,"Outfield"
434671,"Aníbal Sánchez","P",NA,FALSE,"Pitcher"
545363,"Jacob Turner","P",NA,FALSE,"Pitcher"
446264,"Barry Enright","P",NA,FALSE,"Pitcher"
434643,"Wandy Rodriguez","P",NA,FALSE,"Pitcher"
329092,"Randy Choate","P",NA,FALSE,"Pitcher"
434670,"Hanley Ramirez","SS",NA,FALSE,"Infield"
543135,"Nathan Eovaldi","P",NA,FALSE,"Pitcher"
440251,"Ryan Roberts","2B/3B",NA,FALSE,"Utility"
453400,"Chris Johnson","3B",NA,FALSE,"Infield"
435459,"George Kottaras","C",NA,FALSE,"Infield"
501745,"Fautino De Los Santos","P",NA,FALSE,"Pitcher"
434538,"Francisco Liriano","P",NA,FALSE,"Pitcher"
500871,"Eduardo Escobar","3B",NA,FALSE,"Infield"
435625,"Nate Schierholtz","OF",NA,FALSE,"Outfield"
502249,"Lars Anderson","1B",NA,FALSE,"Infield"
459991,"Gaby Sanchez","1B",NA,FALSE,"Infield"
434181,"Brandon League","P",NA,FALSE,"Pitcher"
425664,"Shane Victorino","OF",NA,FALSE,"Outfield"
458676,"Josh Lindblom","P",NA,FALSE,"Pitcher"
133225,"Ryan Dempster","P",NA,FALSE,"Pitcher"
458006,"Matt Albers","P",NA,FALSE,"Pitcher"
519346,"Eric Thames","1B/OF",NA,FALSE,"Utility"
447755,"Steve Delabar","P",NA,FALSE,"Pitcher"
453184,"Brad Lincoln","P",NA,FALSE,"Pitcher"
501983,"Travis Snider","OF",NA,FALSE,"Outfield"
455009,"Jonathan Broxton","P",NA,FALSE,"Pitcher"
434567,"Geovany Soto","C",NA,FALSE,"Infield"
407862,"Reed Johnson","OF",NA,FALSE,"Outfield"
430904,"Paul Maholm","P",NA,FALSE,"Pitcher"
430599,"Joe Blanton","P",NA,FALSE,"Pitcher"
435559,"Kurt Suzuki","C",NA,FALSE,"Infield"
425557,"Jeff Baker","1B/2B",NA,FALSE,"Utility"
502143,"Danny Valencia","3B",NA,FALSE,"Infield"
460022,"Tyler Greene","2B/SS",NA,FALSE,"Utility"
240694,"J.C. Romero","P",NA,FALSE,"Pitcher"
431159,"Kelly Shoppach","C",NA,FALSE,"Infield"
474039,"Pedro Beato","P",NA,FALSE,"Pitcher"
452220,"Stephen Drew","SS",NA,FALSE,"Infield"
474443,"Iván De Jesús Jr.","2B",NA,FALSE,"Infield"
425766,"James Loney","1B",NA,FALSE,"Infield"
277417,"Josh Beckett","P",NA,FALSE,"Pitcher"
408307,"Carl Crawford","OF",NA,FALSE,"Outfield"
346857,"Nick Punto","2B/3B/SS",NA,FALSE,"Utility"
489232,"Anthony Recker","C",NA,FALSE,"Infield"
150275,"Yorvit Torrealba","C",NA,FALSE,"Infield"
523989,"Rubby De La Rosa","P",NA,FALSE,"Pitcher"
543742,"Jerry Sands","OF",NA,FALSE,"Outfield"
460060,"Cliff Pennington","2B/SS",NA,FALSE,"Utility"
425514,"Heath Bell","P",NA,FALSE,"Pitcher"
455759,"Chris Young","OF",NA,FALSE,"Outfield"
429722,"Ervin Santana","P",NA,FALSE,"Pitcher"
493574,"Blake Tekotte","OF",NA,FALSE,"Outfield"
459415,"Tommy Hottovy","P",NA,FALSE,"Pitcher"
502026,"Jeremy Jeffress","P",NA,FALSE,"Pitcher"
519107,"Andy Parrino","SS",NA,FALSE,"Infield"
475115,"Tyson Ross","P",NA,FALSE,"Pitcher"
506693,"Henderson Alvarez","P",NA,FALSE,"Pitcher"
466988,"Emilio Bonifácio","2B/OF",NA,FALSE,"Utility"
408314,"José Reyes","SS",NA,FALSE,"Infield"
407833,"John Buck","C",NA,FALSE,"Infield"
435178,"Josh Johnson","P",NA,FALSE,"Pitcher"
279824,"Mark Buehrle","P",NA,FALSE,"Pitcher"
519186,"Matt Reynolds","P",NA,FALSE,"Pitcher"
435180,"Robert Andino","2B/SS",NA,FALSE,"Utility"
477054,"Trayvon Robinson","OF",NA,FALSE,"Outfield"
518794,"Brandon Hicks","2B",NA,FALSE,"Infield"
466459,"Sandy Rosario","P",NA,FALSE,"Pitcher"
452655,"Denard Span","OF",NA,FALSE,"Outfield"
434592,"Chris Resop","P",NA,FALSE,"Pitcher"
477229,"Jordan Walden","P",NA,FALSE,"Pitcher"
462102,"Tommy Hanson","P",NA,FALSE,"Pitcher"
446641,"Wilton Lopez","P",NA,FALSE,"Pitcher"
502229,"Alex White","P",NA,FALSE,"Pitcher"
519184,"Ben Revere","OF",NA,FALSE,"Outfield"
474699,"Vance Worley","P",NA,FALSE,"Pitcher"
453232,"Graham Godfrey","P",NA,FALSE,"Pitcher"
276545,"Michael Young","SS",NA,FALSE,"Infield"
451584,"Wade Davis","P",NA,FALSE,"Pitcher"
448306,"James Shields","P",NA,FALSE,"Pitcher"
543766,"Bryan Shaw","P",NA,FALSE,"Pitcher"
448609,"Tony Sipp","P",NA,FALSE,"Pitcher"
425783,"Shin-Soo Choo","OF",NA,FALSE,"Outfield"
453228,"Jason Donald","2B/SS",NA,FALSE,"Utility"
453211,"Drew Stubbs","OF",NA,FALSE,"Outfield"
435401,"Skip Schumaker","2B/OF",NA,FALSE,"Utility"
435081,"Mike Nickeas","C",NA,FALSE,"Infield"
489365,"Josh Thole","C",NA,FALSE,"Infield"
285079,"R.A. Dickey","P",NA,FALSE,"Pitcher"
518577,"Collin Cowgill","OF",NA,FALSE,"Outfield"
434778,"Kendrys Morales","1B/DH",NA,FALSE,"Utility"
450306,"Jason Vargas","P",NA,FALSE,"Pitcher"
518655,"John Ely","P",NA,FALSE,"Pitcher"
430629,"Joel Hanrahan","P",NA,FALSE,"Pitcher"
491646,"Jeanmar Gómez","P",NA,FALSE,"Pitcher"
434604,"Michael Morse","1B/OF",NA,FALSE,"Utility"
517414,"Randall Delgado","P",NA,FALSE,"Pitcher"
445988,"Martín Prado","3B",NA,FALSE,"Infield"
457708,"Justin Upton","OF",NA,FALSE,"Outfield"
502748,"Brad Peacock","P",NA,FALSE,"Pitcher"
474892,"Chris Carter","1B/DH",NA,FALSE,"Utility"
471107,"Elliot Johnson","2B/SS",NA,FALSE,"Utility"
518875,"Shawn Kelley","P",NA,FALSE,"Pitcher"
458582,"Reid Brignac","SS",NA,FALSE,"Infield"
542999,"Tony Campana","OF",NA,FALSE,"Outfield"
455077,"Mike Carp","1B/OF",NA,FALSE,"Utility"
543216,"Conor Gillaspie","3B",NA,FALSE,"Infield"
451773,"Dane De La Rosa","P",NA,FALSE,"Pitcher"
429715,"Travis Blackley","P",NA,FALSE,"Pitcher"
519390,"Stephen Vogt","C",NA,FALSE,"Infield"
150421,"Ramon Hernandez","C",NA,FALSE,"Infield"
421685,"Aaron Harang","P",NA,FALSE,"Pitcher"
455139,"Robinson Chirinos","C",NA,FALSE,"Infield"
425646,"Luis Ayala","P",NA,FALSE,"Pitcher"
542924,"Jeff Beliveau","P",NA,FALSE,"Pitcher"
455126,"Chris Nelson","3B",NA,FALSE,"Infield"
465674,"Pedro Ciriaco","3B/SS",NA,FALSE,"Utility"
458913,"Eric Young Jr.","OF",NA,FALSE,"Outfield"
543521,"Collin McHugh","P",NA,FALSE,"Pitcher"
461791,"Carlos Marmol","P",NA,FALSE,"Pitcher"
407825,"Matt Guerrier","P",NA,FALSE,"Pitcher"
444857,"Scott Feldman","P",NA,FALSE,"Pitcher"
502182,"Steve Clevenger","C",NA,FALSE,"Infield"
453562,"Jake Arrieta","P",NA,FALSE,"Pitcher"
467008,"Pedro Strop","P",NA,FALSE,"Pitcher"
499926,"Alex Liddi","3B",NA,FALSE,"Infield"
445060,"Ricky Nolasco","P",NA,FALSE,"Pitcher"
476205,"Josh Wall","P",NA,FALSE,"Pitcher"
459939,"Mitchell Boggs","P",NA,FALSE,"Pitcher"
407819,"Matt Thornton","P",NA,FALSE,"Pitcher"
518748,"Justin Grimm","P",NA,FALSE,"Pitcher"
150093,"Alfonso Soriano","2B/OF",NA,FALSE,"Utility"
275933,"Scott Downs","P",NA,FALSE,"Pitcher"
430884,"Jesse Crain","P",NA,FALSE,"Pitcher"
543321,"L.J. Hoes","OF",NA,FALSE,"Outfield"
502032,"Bud Norris","P",NA,FALSE,"Pitcher"
